or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik
CHASE MANHATTAN BANK USA NA,JPMORGAN CHASE BANK NA,2006-08-02,47,,19617.0
CHAUDHRI IMRAN,APPLE INC,2014-01-24,30,,320193.0
CHAUDHRI IMRAN,APPLE INC,2015-02-20,23,,320193.0
CHEE EUNYOUNG,LG ELECTRONICS INC,2017-03-10,32,,2058873.0
CHEE EUNYOUNG,LG ELECTRONICS INC,2019-08-19,21,,2058873.0
CHEN DAWEI,ACHILLION PHARMACEUTICALS INC,2016-03-11,26,,1691082.0
CHEN TIANSHI,SHANGHAI CAMBRICON INFORMATION TECHNOLOGY CO LTD,2019-09-20,24,,2085372.0
CHEN XIAOCHUAN,BOE TECHNOLOGY GROUP CO LTD,2016-05-31,24,,1852440.0
CHEN XIAOCHUAN,BOE TECHNOLOGY GROUP CO LTD,2017-04-27,26,,1852440.0
CHEN ZHONGWEI,HERMES MICROVISION INC,2016-12-21,26,,65770.0
CHENG KANGGUO,INTERNATIONAL BUSINESS MACHINES CORPORATION,2015-03-21,22,,51143.0
CHENG KANGGUO,INTERNATIONAL BUSINESS MACHINES CORPORATION,2016-06-24,20,,51143.0
CHENNUPATI VIJAYA S,JOHNSON CONTROLS TECHNOLOGY COMPANY,2018-09-25,23,,200406.0
CHEUNG ANN F,DRAGONFLY THERAPEUTICS INC,2019-09-18,30,,1001316.0
CHEUNG YUNWA W,DOW GLOBAL TECHNOLOGIES INC,2006-03-10,23,,1751788.0
CHHABRA BHUMIKA,MICRON TECHNOLOGY INC,2021-02-16,20,,723125.0
CHIANG KYLE P,ATYR PHARMA INC,2013-07-11,36,,1339970.0
CHILDERS ROBERT W,BAXTER INTERNATIONAL INC,2005-01-25,28,,10456.0
CHILDERS ROBERT W,BAXTER INTERNATIONAL INC,2008-07-17,24,,10456.0
CHO HYEON CHEOL,LG ELECTRONICS INC,2008-12-29,25,,2058873.0
CHO KANGEUI,LG ELECTRONICS INC,2020-01-08,24,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2001-08-08,24,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2006-09-29,22,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2007-05-07,24,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2007-07-04,36,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2007-07-26,31,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2008-03-04,23,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2008-08-27,50,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2008-10-13,68,,2058873.0
CHOI IN HWAN,LG ELECTRONICS INC,2008-11-19,28,,2058873.0
CHOI JANGWON,LG ELECTRONICS INC,2021-12-27,23,,2058873.0
CHOI JUNGAH,LG ELECTRONICS INC,2021-12-27,21,,2058873.0
CHOI KYUKWAN,LG ELECTRONICS INC,2020-12-21,24,,2058873.0
