permno,cik
16924,0001654151
16927,0001558583
16928,0001711279
16932,0001428439
16961,0001708035
16966,0001710583
16967,0001494259
16968,0001441816
16974,0001385818
16986,0000010119
16987,0001409269
16989,0001425450
16992,0001494650
17005,0000064803
17014,0000352383
17023,0001703399
17032,0001709682
17034,0001701732
17035,0001604643
17038,0001576942
17042,0001624658
17043,0001704711
17044,0001701108
17045,0001680062
17046,0001316016
17057,0000010242
17103,0001684144
17104,0001492422
17106,0001514416
17107,0001624512
17115,0001708688
17116,0001504678
17122,0001604950
17133,0001083446
17135,0001333835
17139,0001522602
17144,0000040704
17155,0001503274
17209,0001144145
17227,0001718512
17240,0000006332
17251,0001532286
17262,0001645460
17263,0001682639
17266,0001566044
17270,0001697851
17272,0001720580
17279,0001424847
17291,0000086144
17309,0001712463
17313,0001429764
17315,0001666071
17330,0001684693
17337,0000106618
17339,0000030543
17340,0000225939
17341,0001713683
17342,0001467623
17347,0000062869
17349,0001720893
17351,0001412486
17358,0001661998
17366,0001718405
17370,0001460602
17373,0001085243
17374,0001724521
17382,0001423774
17399,0000010873
17443,0000058526
17444,0000729580
17478,0000064040
17487,0000011038
17516,0000353541
17523,0000092679
17566,0000007383
17590,0000817945
17612,0000724885
17646,0000083510
17672,0000931148
17673,0001574135
17685,0001261333
17691,0001124796
17694,0001340243
17695,0001718108
17701,0001366561
17726,0001219601
17743,0000011544
17750,0000055785
17751,0000011545
17778,0001067983
17782,0001639920
17783,0001723089
17784,0001366527
17795,0001712923
17799,0001609550
17806,0000078066
17807,0000320443
17811,0001694665
17813,0001661053
17815,0000011884
17822,0000095907
17825,0001463361
17827,0001737927
17830,0000101829
17855,0001348036
17859,0001733186
17868,0001674365
17876,0001505952
17877,0001560258
17878,0001731831
17879,0001638097
17888,0001734768
17889,0001645666
17891,0001701758
17898,0001227636
17899,0001693415
17900,0001595585
17902,0000079570
17904,0002069519
17905,0001729173
17907,0001731289
17929,0000884614
17947,0001709401
17948,0001564824
17949,0001664703
17953,0000785960
17954,0000215244
17958,0001434418
17961,0000014195
17966,0001819794
17973,0001695357
17977,0001731348
17989,0000355142
18011,0001314727
18013,0001736946
18016,0000046989
18017,0000012204
18032,0000087949
18033,0000722104
18060,0000312833
18061,0001205922
18063,0001475115
18067,0000109265
18075,0000006176
18077,0001740915
18087,0001736541
18089,0001716621
18091,0000026324
18092,0000351346
18097,0001739936
18098,0001362190
18100,0001655759
18102,0001411690
18103,0001530766
18109,0001748797
18112,0001130385
18116,0001656634
18121,0000350646
18126,0001510487
18128,0001382101
18134,0001627475
18135,0001576280
18137,0001737287
18143,0001707925
18144,0001739445
18147,0000059198
18148,0000012239
18156,0000012245
18163,0000080424
18164,0000720762
18184,0001720990
18190,0001603756
18197,0001600847
18198,0000094601
18200,0000099369
18203,0001468748
18209,0001739426
18212,0001459839
18214,0001581280
18217,0001708599
18220,0000350405
18236,0000352715
18243,0000019540
18244,0000355007
18247,0001253176
18251,0000030988
18253,0001630212
18257,0001710340
18262,0001722890
18263,0001723069
18278,0000050957
18286,0000797917
18287,0000715374
18297,0000909327
18298,0001395064
18308,0000723889
18314,0001729089
18316,0000012288
18320,0001668370
18322,0001702924
18358,0000015310
18368,0001749723
18374,0000048305
18376,0001653087
18382,0000067686
18401,0001708493
18402,0001711786
18403,0001166126
18406,0001711754
18407,0001751017
18408,0001751299
18411,0000092122
18414,0001548187
18415,0001750019
18424,0000094845
18427,0001755237
18438,0000093676
18439,0000012570
18452,0001759509
18453,0001758057
18455,0000012654
18456,0001642545
18458,0001357874
18468,0001757064
18480,0001758730
18481,0001167379
18482,0001568100
18483,0001719714
18484,0001585521
18485,0001506293
18539,0001759631
18542,0000018230
